"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_ro_closein_damage"                                                 "Damage:"
		"DOTA_Tooltip_ability_ro_closein_mana"                                                 "Mana Deplete:"
		"DOTA_Tooltip_ability_ro_closein_duration"                                                 "Duration:"

		"DOTA_Tooltip_ability_ro_cripple"                                                 "Cripple"
		"DOTA_Tooltip_ability_ro_cripple_Description"                                     "Ferociously thrust your blades into your target's weak points dealing damage. Depletes energy"
		"DOTA_Tooltip_ability_ro_cripple_damage"                                                 "Damage:"
		"DOTA_Tooltip_ability_ro_cripple_mana"                                                 "Mana Deplete:"

		"DOTA_Tooltip_ability_ro_shred"                                                   "Expose Weakness"
		"DOTA_Tooltip_ability_ro_shred_Description"                                       "Increases the damage a boss takes from all Hero abilities. Last 20 seconds or until 1500 damage is caused by the effect"
		"DOTA_Tooltip_ability_ro_shred_damage"                                                   "%Damage:"

		"DOTA_Tooltip_ability_ro_sprint"                                                  "Sprint"
		"DOTA_Tooltip_ability_ro_sprint_Description"                                      "Run at increased speed for a short time"
		"DOTA_Tooltip_ability_ro_sprint_speed"                                                  "%Move Speed:"
		"DOTA_Tooltip_ability_ro_sprint_duration"                                                  "Duration:"

		"DOTA_Tooltip_ability_ro_unbreakable_will"                                        "Unbreakable Will"
		"DOTA_Tooltip_ability_ro_unbreakable_will_Description"                            "Allows you to completely avoid any spell or attack"
		"DOTA_Tooltip_ability_ro_unbreakable_will_duration"                                        "Duration:"

		///Warlock 

		"DOTA_Tooltip_envelop_mod"                                                        "Envelop Mod"
		"DOTA_Tooltip_envelop_mod_Description"                                            "Sacrificing health for damage"

		"DOTA_Tooltip_modifier_life_drain"                                                "Life Drain"
		"DOTA_Tooltip_modifier_life_drain_Description"                                    "Draining Life"

		"DOTA_Tooltip_malice_buff"                                                        "Malice Buff"
		"DOTA_Tooltip_malice_buff_Description"                                            "Increased damage, AS, MS and Lifesteal"

		"DOTA_Tooltip_torment_debuff"                                                     "Torment Debuff"
		"DOTA_Tooltip_torment_debuff_Description"                                         "This unit is taking damage over time and has slow attack speed"

		//--------------------------------------------------------------

		"DOTA_Tooltip_ability_wa_envelop"                                                 "Enveloping Shadows"
		"DOTA_Tooltip_ability_wa_envelop_Description"                                     "Consumes your health every second relinquishing it to the shadows; surges of dark surround the dark dealing damage. If the boss is at 30% or less health or lower surges will deal an extra damage. Boss will gain temporary resistance to this spell once casting has finished for 15 seconds. Does not deal extra damage to light."
		"DOTA_Tooltip_ability_wa_envelop_self"                                                 "Self Damage:"
		"DOTA_Tooltip_ability_wa_envelop_damage"                                                 "Damage:"
		"DOTA_Tooltip_ability_wa_envelop_bonus"                                                 "Bonus Damage:"
		"DOTA_Tooltip_ability_wa_envelop_mana"                                                 "Mana Deplete:"
		"DOTA_Tooltip_ability_wa_envelop_reduction"                                                 "%Reduc to Shadow:"

		"DOTA_Tooltip_ability_wa_life_drain"                                              "Soul Siphon"
		"DOTA_Tooltip_ability_wa_life_drain_Description"                                  "Drains Health and Mana from the target unit"
		"DOTA_Tooltip_ability_wa_life_drain_damage"                                              "Damage:"
		"DOTA_Tooltip_ability_wa_life_drain_drain"                                              "%Heal:"
		"DOTA_Tooltip_ability_wa_life_drain_mana"                                              "Mana Drain:"
		"DOTA_Tooltip_ability_wa_life_drain_duration"                                              "Duration:"


		"DOTA_Tooltip_ability_wa_malice"                                                  "Malice"
		"DOTA_Tooltip_ability_wa_malice_Description"                                      "Increases targets attack damage, attack speed and movement speed. Also grants lifesteal"
		"DOTA_Tooltip_ability_wa_malice_damage"                                                  "Attack Damage:"
		"DOTA_Tooltip_ability_wa_malice_AS"                                                  "%Attack Speed:"
		"DOTA_Tooltip_ability_wa_malice_MS"                                                  "%Movement Speed:"
		"DOTA_Tooltip_ability_wa_malice_steal"                                                  "%Lifesteal"
		"DOTA_Tooltip_ability_wa_malice_duration"                                                  "Duration:"


		"DOTA_Tooltip_ability_wa_torment"                                                 "Torment"
		"DOTA_Tooltip_ability_wa_torment_Description"                                     "Unleashes dark magic dealing initial damage and damage every 2 seconds. The tormented unit will have a slower attack rate"
		"DOTA_Tooltip_ability_wa_torment_damage"                                                 "Initial Damage:"
		"DOTA_Tooltip_ability_wa_torment_dot"                                                 "Damage over Time:"
		"DOTA_Tooltip_ability_wa_torment_AS"                                                 "%Attack Slow:"
		"DOTA_Tooltip_ability_wa_torment_duration"                                                 "Duration:"
		"DOTA_Tooltip_ability_wa_torment_reduction"                                                 "%Reduc to Shadow:"
		"DOTA_Tooltip_ability_wa_torment_amplify"                                                 "Extra Initial Damage to Light:"

		///Fire Boss

		"DOTA_Tooltip_ability_fire_ball"                                                  "Fire Ball"
		"DOTA_Tooltip_ability_fire_ball_Description"                                      "Sends out a fire ball in a random direction that explodes after traveling 500 distance"
		"DOTA_Tooltip_ability_fire_ball_damage"                                                  "Damage:"
		"DOTA_Tooltip_ability_fire_ball_radius"                                                  "Radius:"

		"DOTA_Tooltip_ability_fire_storm"                                                 "Fire Storm"
		"DOTA_Tooltip_ability_fire_storm_Description"                                     "Calls down a hail of meteors that slowly fall from the sky and damage in a small aoe upon impact"
		"DOTA_Tooltip_ability_fire_storm_damage"                                                 "Damage:"

		"DOTA_Tooltip_ability_flame_strike"                                               "Flame Strike"
		"DOTA_Tooltip_ability_flame_strike_Description"                                   "Summons a flamestrike under a random player dealing damage per second to the area"
		"DOTA_Tooltip_ability_flame_strike_damage"                                               "Damage per Second:"
		"DOTA_Tooltip_ability_flame_strike_radius"                                               "Radius:"

		"DOTA_Tooltip_ability_flame_strike_five"                                          "Mega Flame Strike"
		"DOTA_Tooltip_ability_flame_strike_five_Description"                              "Summons a giant flamestrike in a that damage players around the fire lord. CAN BE COUNTERED"
		"DOTA_Tooltip_ability_flame_strike_five_damage"                                          "Damage per Second:"
		"DOTA_Tooltip_ability_flame_strike_five_radius"                                          "Radius:"

		"DOTA_Tooltip_ability_hell_fire"                                                  "Hell Fire"
		"DOTA_Tooltip_ability_hell_fire_Description"                                      "The Fire Lord gains a massive attack speed increase for a short duration"
		"DOTA_Tooltip_ability_hell_fire_speed"                                                  "%Attack Speed"
		"DOTA_Tooltip_ability_hell_fire_duration"                                                  "Duration:"

		"DOTA_Tooltip_ability_LightFollow"                                                "Devouring flame"
		"DOTA_Tooltip_ability_LightFollow_Description"                                    "The Fire Lord becomes invulnerable and begins channeling his egg. After 5 seconds the arena will go dark exept for a small AoE around the egg. Players must follow the egg for the duration until light is restored"

		"DOTA_Tooltip_ability_MassFireRaze"                                               "Flame Burst"
		"DOTA_Tooltip_ability_MassFireRaze_Description"                                   "The Fire Lord sends out multiple small fire balls that damage player on impact. Deadly at close range. CAN BE COUNTERED"
		"DOTA_Tooltip_ability_MassFireRaze_damage"                                               "Damage:"
		
		//------------------------
		// Items
		//------------------------
		"DOTA_Tooltip_ability_item_example_item"										"Shield Blaster"
		"DOTA_Tooltip_ability_item_example_item_Description"							"Gives the caster a 50% damage reduction for 4 seconds while firing a projectile that deals damage 125 PURE damage to any enemy it hits."
		"DOTA_Tooltip_ability_item_example_item_Lore"								""
		"DOTA_Tooltip_ability_item_example_item_duration"							"DURATION:"
	    "DOTA_Tooltip_ability_item_example_item_damage_reduction"							"DAMAGE REDUCTION:"
	    "DOTA_Tooltip_ability_item_example_item_radius"							"PROJECTILE RADIUS:"
	    "DOTA_Tooltip_ability_item_example_item_speed"							"PROJECTILE SPEED:"
	    "DOTA_Tooltip_ability_item_example_item_distance"							"DISTANCE:"
	    "DOTA_Tooltip_ability_item_example_item_damage"							"DAMAGE:"

	    ///UI
		
		"QuestTimer"    "Boss fight will begin in %quest_current_value% seconds"
		"QuestKill" "Kill The Boss (%quest_current_value%/%quest_target_value%)"

		"addonname"										"Impossible Bosses"
		"overthrow_game_info_header_objective"			"Objective:"
		"overthrow_brief_description"					"Get though as many bosses as you can. Defeat them quickly and efficently to recieve a higher team rank"
		"overthrow_game_info_header_how_to_play"		"How To Play:"
		"overthrow_game_info_throne"					"Gold can be spent on simple items at the shop. Kharma is earned by defeating bosses and used for upgrading your slayer or buying special items"
		"overthrow_game_info_coins"						"Steping on an alter will grant perminent bonuses to the slayer. Blue = Offensive Abilities | Green = Health Bonus | Red = Movement Bonus | Purple = Mana Bonus"
		"overthrow_game_info_items"						"Most Bosses have an elemental alignment causeing them to be weaker or more resistant to certain classes. Make sure you balance your team!"
		"overthrow_game_info_tips_header"				"Tips:"
		"overthrow_game_info_tip01"						"Special Items become unlocked as more bosses are killed. Most are class specific"
		"overthrow_game_info_tip02"						"Each class has a spell that grants invulnerability for a short duration. Use this to avoid death against lethal attacks"
		"overthrow_game_info_tip03"						"Having a balanced team is crucial to victory against later bosses"
		"overthrow_game_info_tip04"						"Gold will randomly drop around the areana. Most bosses also drop Gems and Scrolls on death"
		}
}
